Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,[H] Post imagem 1MB,1372,0,25,26.030983839679163,19.782305000262568,72.12079099917901,30508.0,22.791921574040657,0.0,25,26,26,26,28,34,50,56,67,72,72
GET,[H] Post imagem 300KB,453,0,25,26.182528578409467,22.504897000544588,75.12129000133427,32689.0,7.5253210444900995,0.0,25,26,26,27,28,31,44,56,75,75,75
GET,[H] Post texto 400KB,923,0,31,31.97085751463899,25.33647999916866,79.86268900094728,438369.0,15.333049280495281,0.0,31,31,32,32,35,42,57,61,80,80,80
,Aggregated,2748,0,26,28.05105413394144,19.782305000262568,79.86268900094728,167860.14556040757,45.65029189902604,0.0,26,29,30,31,33,37,51,58,75,80,80
