Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,[H] Post imagem 1MB,6160,0,1700,1503.766653052447,18.81338899875118,2525.3836210013105,30508.0,95.39260306706808,0.0,1700,1800,1800,1800,1900,2000,2100,2200,2400,2500,2500
GET,[H] Post imagem 300KB,2090,2,1700,1515.668788959788,10.203599000305985,2480.1030429989623,32657.718660287082,32.36534746918382,0.030971624372424702,1700,1800,1800,1900,1900,2000,2100,2200,2400,2500,2500
GET,[H] Post texto 400KB,4086,4,1800,1639.2445461695875,1.7732920005073538,2694.167966999885,437939.8575624082,63.27502859286367,0.061943248744849404,1800,2000,2000,2100,2200,2200,2300,2400,2600,2700,2700
,Aggregated,12336,6,1700,1550.6569039703325,1.7732920005073538,2694.167966999885,165824.1058690013,191.03297912911557,0.09291487311727412,1700,1800,1900,1900,2100,2100,2200,2300,2500,2700,2700
