Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,[S2] Post texto 400KB,292,0,31,33.15236771576353,27.165138000782463,88.47908600000665,438369.0,4.812064099783034,0.0,31,32,33,34,36,41,73,84,88,88,88
,Aggregated,292,0,31,33.15236771576353,27.165138000782463,88.47908600000665,438369.0,4.812064099783034,0.0,31,32,33,34,36,41,73,84,88,88,88
