Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,[H] Post imagem 1MB,6100,1,1700,1524.5002603445791,2.152883000235306,3033.871031999297,30502.99868852459,94.50007741837707,0.01549181597022575,1700,1800,1900,1900,2000,2100,2200,2300,2500,3000,3000
GET,[H] Post imagem 300KB,2037,1,1700,1527.6652664334938,2.3825090011087013,2743.0028919989127,32672.95238095238,31.556829131349854,0.01549181597022575,1700,1800,1900,1900,2000,2100,2200,2300,2600,2700,2700
GET,[H] Post texto 400KB,4120,2,1900,1665.4520487601835,2.044991999355261,2909.651058000236,438156.1995145631,63.82628179733009,0.0309836319404515,1900,2000,2100,2100,2200,2300,2500,2500,2800,2900,2900
,Aggregated,12257,4,1700,1572.4050074829793,2.044991999355261,3033.871031999297,167889.91090805255,189.88318834705703,0.061967263880903,1700,1900,1900,2000,2100,2200,2300,2400,2700,2900,3000
