Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,[H] Post imagem 1MB,149,0,25,25.383098302057952,22.13117700011935,52.62545200093882,30508.0,2.3953092525639157,0.0,25,25,25,26,26,30,43,52,53,53,53
GET,[H] Post imagem 300KB,46,0,25,24.724914347960134,22.441193001213833,27.18379299949447,32689.0,0.7394914471002693,0.0,25,25,25,25,26,26,27,27,27,27,27
GET,[H] Post texto 400KB,106,0,31,30.833090735867238,27.208768000491546,55.30596900098317,438369.0,1.704045508535403,0.0,31,31,31,31,32,33,45,50,55,55,55
,Aggregated,301,0,25,27.201778488421024,22.13117700011935,55.30596900098317,174473.4219269103,4.8388462081995876,0.0,25,28,30,31,31,32,39,50,55,55,55
