Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,[H] Post imagem 1MB,1373,0,25,25.333541504721488,20.60510100091051,83.51460499943641,30508.0,22.66604044755774,0.0,25,25,25,26,26,28,49,56,82,84,84
GET,[H] Post imagem 300KB,476,0,25,25.680934537793277,21.274000999255804,83.65590500034159,32689.0,7.858000912627446,0.0,25,25,26,26,27,28,47,54,84,84,84
GET,[H] Post texto 400KB,859,0,31,31.722089495917096,26.691774999562767,102.5603059988498,438369.0,14.180720134342387,0.0,31,31,31,32,33,35,59,69,100,100,100
,Aggregated,2708,0,25,27.42110494939623,20.60510100091051,102.5603059988498,160268.24926144755,44.704761494527574,0.0,25,28,29,30,32,33,52,59,92,100,100
