Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,[S3] Post imagem 300KB,295,0,2,2.7316293151855815,1.9231660007790197,26.67279700108338,305739.0,4.739200973695926,0.0,2,2,2,3,3,4,12,15,27,27,27
,Aggregated,295,0,2,2.7316293151855815,1.9231660007790197,26.67279700108338,305739.0,4.739200973695926,0.0,2,2,2,3,3,4,12,15,27,27,27
