Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,[H] Post imagem 1MB,160,0,24,24.395230387517586,21.92986999943969,45.9640990011394,30508.0,2.6277521480700554,0.0,24,25,25,25,26,26,28,34,46,46,46
GET,[H] Post imagem 300KB,43,0,25,24.914816976634874,22.400851999918814,46.09709900068992,32689.0,0.7062083897938274,0.0,25,25,25,25,26,27,46,46,46,46,46
GET,[H] Post texto 400KB,98,0,30,31.32315765313771,27.47771800022747,67.29779899978894,438369.0,1.609498190692909,0.0,30,31,31,31,32,45,55,67,67,67,67
,Aggregated,301,0,25,26.725061269121625,21.92986999943969,67.29779899978894,163611.5249169435,4.9434587285567915,0.0,25,28,29,30,31,32,45,50,67,67,67
