Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,[H] Post imagem 1MB,1365,0,25,25.45122808132274,20.00490099999297,89.28160799951002,30508.0,22.49939595916666,0.0,25,25,25,26,26,28,47,56,88,89,89
GET,[H] Post imagem 300KB,484,0,25,26.000214747846034,21.9772689997626,57.6838979995955,32689.0,7.9778077979755775,0.0,25,26,26,26,27,29,50,53,58,58,58
GET,[H] Post texto 400KB,901,0,31,31.41170331631198,26.637144001142588,88.78990899938799,438369.0,14.851249640446271,0.0,31,31,31,32,32,35,54,60,89,89,89
,Aggregated,2750,0,26,27.500718166167314,20.00490099999297,89.28160799951002,164521.9509090909,45.328453397588504,0.0,26,28,30,31,31,33,50,57,88,89,89
