Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,[H] Post imagem 1MB,6102,3,1700,1511.7214404054398,6.007740001223283,2652.2607229999267,30493.000983284168,94.43881843368426,0.046430097558350175,1700,1800,1800,1900,2000,2000,2100,2200,2400,2700,2700
GET,[H] Post imagem 300KB,2035,2,1700,1491.9055159744435,12.9188549999526,2696.5651360005722,32656.87321867322,31.495082843747536,0.030953398372233452,1700,1800,1800,1900,2000,2000,2100,2200,2300,2700,2700
GET,[H] Post texto 400KB,4144,2,1800,1641.889304965737,6.051190999642131,3033.413187999031,438157.4319498069,64.13544142726771,0.030953398372233452,1800,2000,2100,2100,2200,2300,2400,2400,2600,3000,3000
,Aggregated,12281,7,1700,1552.360657449707,6.007740001223283,3033.413187999031,168410.50622913442,190.06934270469952,0.10833689430281708,1700,1800,1900,1900,2100,2200,2300,2300,2500,3000,3000
